Specimen_code,Species_name,Provenance,Family,New_tip_label,
RB660,Traganum nudatum,Libya,Amaranthaceae,RB660_Traganum nudatum_Libya_Amaranthaceae,
RB25,Salsola webbii,Morocco,Amaranthaceae,RB25_Salsola webbii_Morocco_Amaranthaceae,
P05073882,Bassia tomentosa,Morocco,Amaranthaceae,P05073882_Bassia tomentosa_Morocco_Amaranthaceae,
RB537,Bassia tomentosa,Canary Islands,Amaranthaceae,RB537_Bassia tomentosa_Canary Islands_Amaranthaceae,
RB960,Salicornia perennis,Canary Islands,Amaranthaceae,RB960_Salicornia perennis_Canary Islands_Amaranthaceae,
RB274,Arthrocaulon macrostachyum,Canary Islands,Amaranthaceae,RB274_Arthrocaulon macrostachyum_Canary Islands_Amaranthaceae,
RB961,Arthrocaulon macrostachyum,France,Amaranthaceae,RB961_Arthrocaulon macrostachyum_France_Amaranthaceae,
RB962,Arthrocaulon macrostachyum,France,Amaranthaceae,RB962_Arthrocaulon macrostachyum_France_Amaranthaceae,
RB567,Salicornia perennis,Spain,Amaranthaceae,RB567_Salicornia perennis_Spain_Amaranthaceae,
RB673,Salicornia perennis,Italy,Amaranthaceae,RB673_Salicornia perennis_Italy_Amaranthaceae,
K23,Bosea cypria,Cyprus,Amaranthaceae,K23_Bosea cypria_Cyprus_Amaranthaceae,
RB423,Bosea cypria,Greece,Amaranthaceae,RB423_Bosea cypria_Greece_Amaranthaceae,
ODN40,Bosea yervamora,Canary Islands,Amaranthaceae,ODN40_Bosea yervamora_Canary Islands_Amaranthaceae,
RB1014,Periploca laevigata,Canary Islands,Apocynaceae,RB1014_Periploca laevigata_Canary Islands_Apocynaceae,*
RB693,Aizoanthemopsis hispanica,Morocco,Aizoaceae,RB693_Aizoanthemopsis hispanica_Morocco_Aizoaceae,
ODN7,Aizoanthemopsis hispanica,Canary Islands,Aizoaceae,ODN7_Aizoanthemopsis hispanica_Canary Islands_Aizoaceae,
RB280,Aizoon canariense,Canary Islands,Aizoaceae,RB280_Aizoon canariense_Canary Islands_Aizoaceae,
RB22,Aizoon canariense,Morocco,Aizoaceae,RB22_Aizoon canariense_Morocco_Aizoaceae,
RB694-2,#N/A,#N/A,#N/A,RB694-2_Aizoanthemopsis hispanica_Spain_Aizoaceae,
RB694,Aizoanthemopsis hispanica,Spain,Aizoaceae,RB694_Aizoanthemopsis hispanica_Spain_Aizoaceae,
RB259,Portulaca oblonga,Kenya,Portulacaceae,RB259_Portulaca oblonga_Kenya_Portulacaceae,
RB564,Rhodalsine geniculata,Morocco,Caryophyllaceae,RB564_Rhodalsine geniculata_Morocco_Caryophyllaceae,*
K19,Plantago lagopus,Morocco,Plantaginaceae,K19_Plantago lagopus_Morocco_Plantaginaceae,*
RB925-2,#N/A,#N/A,#N/A,RB925-2_Persicaria decipiens_Ethiopia_Polygonaceae,
RB925,Persicaria decipiens,Ethiopia,Polygonaceae,RB925_Persicaria decipiens_Ethiopia_Polygonaceae,
ODN127,Persicaria decipiens,Canary Islands,Polygonaceae,ODN127_Persicaria decipiens_Canary Islands_Polygonaceae,
RB257,Persicaria decipiens,Liberia,Polygonaceae,RB257_Persicaria decipiens_Liberia_Polygonaceae,
RB271,Limonium ovalifolium,Spain,Plumbaginaceae,RB271_Limonium ovalifolium_Spain_Plumbaginaceae,
RB954,Limonium tuberculatum,Senegal,Plumbaginaceae,RB954_Limonium tuberculatum_Senegal_Plumbaginaceae,
K2,Limonium papillatum,Canary Islands,Plumbaginaceae,K2_Limonium papillatum_Canary Islands_Plumbaginaceae,*
RB904,Limonium ovalifolium,Portugal,Plumbaginaceae,RB904_Limonium ovalifolium_Portugal_Plumbaginaceae,
RB947,Limonium lobatum,Canary Islands,Plumbaginaceae,RB947_Limonium lobatum_Canary Islands_Plumbaginaceae,
RB632,Limonium brassicifolium,Canary Islands,Plumbaginaceae,RB632_Limonium brassicifolium_Canary Islands_Plumbaginaceae,
RB620,Limonium frutescens,Canary Islands,Plumbaginaceae,RB620_Limonium frutescens_Canary Islands_Plumbaginaceae,
RB545,Ceratocapnos heterocarpa,Algeria,Papaveraceae,RB545_Ceratocapnos heterocarpa_Algeria_Papaveraceae,
RB518,Echium wildpretii,Canary Islands,Boraginaceae,RB518_Echium wildpretii_Canary Islands_Boraginaceae,*
RB398,Monanthes polyphylla,Canary Islands,Crassulaceae,RB398_Monanthes polyphylla_Canary Islands_Crassulaceae,
RB400,Monanthes muralis,Canary Islands,Crassulaceae,RB400_Monanthes muralis_Canary Islands_Crassulaceae,
