species,growth_form,source,,
Cistanche phelypaea,Perennial Herbaceous,"F. Lens, unpublished data; 210",,
Odontites hollianus,Annual Herbaceous,"F. Lens, unpublished data; 211",,
Parentucellia viscosa,Annual Herbaceous,"F. Lens, unpublished data; 212",,
Ceratocapnos heterocarpa,Annual Herbaceous,"F. Lens, unpublished data; 213",,
Chelidonium majus,Perennial Herbaceous,"F. Lens, unpublished data; 214",,
Platycapnos spicata,Annual Herbaceous,"F. Lens, unpublished data; 215",,
Visnea mocanera,Ancestral Woodiness,"F. Lens, unpublished data",,
Pittosporum coriaceum,Ancestral Woodiness,NA,,
Callitriche stagnalis,Perennial Herbaceous,"F. Lens, unpublished data; 216",,
Campylanthus salsoloides,Derived Woodiness,"F. Lens, unpublished data",,
Digitalis canariensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Digitalis chalcantha,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Digitalis isabelliana,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Globularia ascanii,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Globularia salicina,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Globularia sarcophylla,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Kickxia commutata,Perennial Herbaceous,"F. Lens, unpublished data; 217",,
Kickxia elatine,Annual Herbaceous,"F. Lens, unpublished data; 218",,
Kickxia pendula,Perennial Herbaceous,"F. Lens, unpublished data; 219",,
Linaria arvensis,Annual Herbaceous,"F. Lens, unpublished data; 220",,
Linaria micrantha,Annual Herbaceous,"F. Lens, unpublished data; 220",,
Linaria simplex,Annual Herbaceous,"F. Lens, unpublished data; 220",,
Linaria spartea,Annual Herbaceous,"F. Lens, unpublished data; 221",,
Nanorrhinum heterophyllum,Perennial Herbaceous,Hooft van Huysduynen et al. 2021; 222,,
Nanorrhinum sagittatum,Perennial Herbaceous,Hooft van Huysduynen et al. 2021; 222,,
Nanorrhinum scoparium,Perennial Herbaceous,Hooft van Huysduynen et al. 2021; 222,,
Nanorrhinum urbanii,Perennial Herbaceous,Hooft van Huysduynen et al. 2021; 222,,
Plantago afra,Annual Herbaceous,"F. Lens, unpublished data; 223",,
Plantago albicans,Perennial Herbaceous,"F. Lens, unpublished data; 224",,
Plantago amplexicaulis,Annual Herbaceous,"F. Lens, unpublished data; 225",,
Plantago arborescens,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Plantago asphodeloides,Annual Herbaceous,"F. Lens, unpublished data; 226",,
Plantago ciliata,Annual Herbaceous,"F. Lens, unpublished data; 227",,
Plantago coronopus,Perennial Herbaceous,"F. Lens, unpublished data; 228",,
Plantago famarae,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Plantago lagopus,Annual Herbaceous,"F. Lens, unpublished data; 44",,
Plantago lanceolata,Perennial Herbaceous,"F. Lens, unpublished data; 229",,
Plantago loeflingii,Annual Herbaceous,"F. Lens, unpublished data; 230",,
Plantago ovata,Annual Herbaceous,"F. Lens, unpublished data; 231",,
Plantago phaeostoma,Annual Herbaceous,"F. Lens, unpublished data; 232",,
Plantago webbii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Veronica anagallis-aquatica,Perennial Herbaceous,"F. Lens, unpublished data; 233",,
Veronica arvensis,Annual Herbaceous,"F. Lens, unpublished data; 234",,
Veronica beccabunga,Perennial Herbaceous,"F. Lens, unpublished data; 235",,
Veronica hederifolia,Annual Herbaceous,"F. Lens, unpublished data; 234",,
Veronica serpyllifolia,Perennial Herbaceous,"F. Lens, unpublished data; 234",,
Limonium arboreum,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium benmageci,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium bollei,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium bourgeaui,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium brassicifolium,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium dendroides,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium frutescens,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium imbricatum,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium lobatum,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium macrophyllum,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium ovalifolium,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium papillatum,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium pectinatum,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium perezii,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium preauxii,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium puberulum,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium redivivum,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium relicticum,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium rumicifolium,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium sinuatum,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium spectabile,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium sventenii,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium tuberculatum,Insular Woodiness,Koutroumpa et al. 2021,,
Limonium vigaroense,Insular Woodiness,Koutroumpa et al. 2021,,
Persicaria decipiens,Perennial Herbaceous,"F. Lens, unpublished data; 236",,
Persicaria maculosa,Annual Herbaceous,"F. Lens, unpublished data; 237",,
Portulaca canariensis,Annual Herbaceous,"F. Lens, unpublished data; 238",,
Heberdenia excelsa,Ancestral Woodiness,"F. Lens, unpublished data",,
Pleiomeris canariensis,Ancestral Woodiness,"F. Lens, unpublished data",,
Oligomeris linifolia,Derived Woodiness,"F. Lens, unpublished data",,
Agrimonia eupatoria,Perennial Herbaceous,"F. Lens, unpublished data; 239",,
Alchemilla microcarpa,Annual Herbaceous,"F. Lens, unpublished data; 240",,
Aria edulis,Ancestral Woodiness,"F. Lens, unpublished data",,
Bencomia brachystachya,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Bencomia caudata,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Bencomia exstipulata,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Bencomia sphaerocarpa,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Dendriopoterium pulidoi,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Marcetella moquiniana,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Prunus lusitanica,Ancestral Woodiness,"F. Lens, unpublished data",,
Rosa canina,Ancestral Woodiness,"F. Lens, unpublished data",,
Plocama pendula,Ancestral Woodiness,"F. Lens, unpublished data",,
Rubia angustifolia,Perennial Herbaceous,"F. Lens, unpublished data; 241",,
Rubia fruticosa,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sherardia arvensis,Annual Herbaceous,"F. Lens, unpublished data; 126",,
Theligonum cynocrambe,Annual Herbaceous,"F. Lens, unpublished data; 242",,
Valantia hispida,Annual Herbaceous,"F. Lens, unpublished data; 243",,
Cneorum pulverulentum,Ancestral Woodiness,"F. Lens, unpublished data",,
Ruta microcarpa,Ancestral Woodiness,"F. Lens, unpublished data",,
Ruta oreojasme,Ancestral Woodiness,"F. Lens, unpublished data",,
Ruta pinnata,Ancestral Woodiness,"F. Lens, unpublished data",,
Salix pedicellata,Ancestral Woodiness,"F. Lens, unpublished data",,
Osyris lanceolata,Ancestral Woodiness,"F. Lens, unpublished data",,
Sideroxylon canariense,Ancestral Woodiness,"F. Lens, unpublished data",,
Camptoloma canariense,Ancestral Woodiness,"F. Lens, unpublished data",,
Scrophularia arguta,Annual Herbaceous,"F. Lens, unpublished data; 244",,
Scrophularia calliantha,Perennial Herbaceous,"F. Lens, unpublished data; 245",,
Scrophularia glabrata,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Scrophularia smithii,Perennial Herbaceous,"F. Lens, unpublished data; 42",,
Hyoscyamus albus,Perennial Herbaceous,"F. Lens, unpublished data; 246",,
Lycium intricatum,Ancestral Woodiness,"F. Lens, unpublished data",,
Daphne gnidium,Ancestral Woodiness,"F. Lens, unpublished data",,
Forsskaolea angustifolia,Ancestral Woodiness,Hooft van Huysduynen et al. 2021,,
Gesnouinia arborea,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Parietaria debilis,Annual Herbaceous,"F. Lens, unpublished data; 247",,
Parietaria filamentosa,Perennial Herbaceous,"F. Lens, unpublished data; 248",,
Parietaria judaica,Perennial Herbaceous,"F. Lens, unpublished data 249",,
Parietaria mauritanica,Annual Herbaceous,"F. Lens, unpublished data; 250",,
Urtica membranacea,Annual Herbaceous,"F. Lens, unpublished data; 251",,
Urtica morifolia,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Urtica stachyoides,Annual Herbaceous,"F. Lens, unpublished data; 252",,
Urtica urens,Annual Herbaceous,"F. Lens, unpublished data; 253",,
Viola anagae,Perennial Herbaceous,"F. Lens, unpublished data; 118",,
Viola arvensis,Annual Herbaceous,"F. Lens, unpublished data; 254",,
Viola cheiranthifolia,Perennial Herbaceous,"F. Lens, unpublished data; 255",,
Viola guaxarensis,Perennial Herbaceous,"F. Lens, unpublished data; 256",,
Viola kitaibeliana,Annual Herbaceous,"F. Lens, unpublished data; 257",,
Viola odorata,Perennial Herbaceous,"F. Lens, unpublished data; 258",,
Viola palmensis,Perennial Herbaceous,"F. Lens, unpublished data; 259",,
Viola plantaginea,Perennial Herbaceous,"F. Lens, unpublished data; 260",,
Viola riviniana,Perennial Herbaceous,"F. Lens, unpublished data; 261",,
