"phylum","order","family","genus","species","num_occurrences","elevation_median","elevation_mad","TRI_median","annual_temp","diurnal_temp_range_median","temp_seasonality","temp_driest_quarter","temp_coldest_quarter","annual_precip","precip_driest_quarter","precip_seasonality","evapotranspiration","evaporation","transpiration","interception","aridity_index","range_size","growth_form"
"Tracheophyta","Malpighiales","Hypericaceae","Hypericum","Hypericum canariense",547,553.059814453125,258.593709301758,79.107588164794,19.1155592852383,16.1236924580235,272.704539952965,23.2115444077429,15.5005623887233,455.290439137144,8.58871528073959,78.6034338992977,520.902954101562,72.7523803711044,429.826385498421,3.06550288200607,0.874040808469623,4133.38250482863,"Ancestral Woodiness"
"Tracheophyta","Malpighiales","Hypericaceae","Hypericum","Hypericum glandulosum",64,614.629577636719,187.873263995361,94.5199885845313,18.139770744795,12.3366749234394,243.323771788041,21.7215396944823,14.7487497705429,468.30337141384,13.1512292797319,73.0433893730862,501.826980590783,47.2723579406542,430.793899536104,5.60163426399454,0.933196877661946,4133.38250482863,"Ancestral Woodiness"
"Tracheophyta","Malpighiales","Hypericaceae","Hypericum","Hypericum grandifolium",413,932.017761230469,286.051942712402,80.4209619964385,16.9236218969312,16.1132762783199,287.006144557756,21.249812948638,13.4654727605465,652.252951557545,11.9624654040067,74.8935000132239,601.831604003971,44.294376373291,545.359130859241,13.5509490966874,1.08377982681222,4133.38250482863,"Ancestral Woodiness"
"Tracheophyta","Malpighiales","Hypericaceae","Hypericum","Hypericum reflexum",193,668.521728515625,446.397747894287,90.1337167008552,18.4773107709201,17.8238714346502,313.721223961203,22.9700549540885,14.6674464659115,464.398865221555,8.8460176165455,78.8252400168384,385.231536865308,79.0161437988232,302.280944824541,1.14780592918403,1.20550583423269,4133.38250482863,"Ancestral Woodiness"
"Tracheophyta","Malpighiales","Violaceae","Viola","Viola anagae",41,824.292175292969,86.6548209228516,67.8950851522744,16.4351199731065,8.93641990096114,226.799161673614,19.6650676049148,13.3837941391911,435.863412340715,14.1026406594439,71.0302527900123,536.815673828125,15.4385061263973,507.786437988281,13.1166210174561,0.81194241075805,1362.25827223374,"Perennial Herbaceous"
"Tracheophyta","Malpighiales","Violaceae","Viola","Viola cheiranthifolia",31,2655.61791992188,350.476360253906,72.7055688697746,8.3547053230433,14.489222905434,369.041280593141,12.176367717443,4.25310495835686,397.373960823908,2.15368539887888,89.9391187014051,109.98917388916,109.98917388916,0,0,3.61284612633199,1362.25827223374,"Perennial Herbaceous"
"Tracheophyta","Malpighiales","Violaceae","Viola","Viola palmensis",39,2246.70263671875,58.5583564453125,72.989501556248,9.30057174132343,13.6100537112875,308.563406591734,15.8715069642124,5.57520990645905,1033.67812644198,4.61864777438768,95.3358812108451,73.535186767728,39.0574798583931,28.6549263000664,0.203378781677179,14.056918488655,1362.25827223374,"Perennial Herbaceous"
"Tracheophyta","Malvales","Cistaceae","Cistus","Cistus monspeliensis",934,929.058959960938,318.545713366699,71.5360234931045,18.0094604865075,18.9272677607213,353.508317469494,22.8845315145423,13.6776920388024,414.966545039139,3.61422076281,89.1435181120662,362.424804687194,66.9310989379973,270.751937866145,0.859936892987566,1.14497280448918,6693.12628909125,"Ancestral Woodiness"
"Tracheophyta","Malvales","Cistaceae","Cistus","Cistus symphytifolius",670,1196.46447753906,312.008708807373,65.2701732724145,16.0768306535737,19.0429744948953,318.947833839956,21.2183223523692,11.8965131199736,622.360250430664,5.01308333860768,87.7737080941163,471.831771850579,86.2995567321694,356.874374389817,8.2620005607603,1.31902997542894,6693.12628909125,"Ancestral Woodiness"
"Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum canariense",210,232.963638305664,227.043954833221,32.7931323675271,20.3430608364418,13.9706420135977,248.163190599184,22.7757838110342,16.4946268682283,160.040465149295,0,92.1674498715032,37.0960502624382,23.4610290527205,6.83850097656541,0,4.31421846846442,5261.47034981187,"Ancestral Woodiness"
"Tracheophyta","Malvales","Cistaceae","Tuberaria","Tuberaria guttata",143,1052.61291503906,370.197184423828,63.2075274914305,16.8536171545355,18.0389826447241,324.785842715556,22.2378985967889,12.5950231618271,604.030879835689,6.02422082484977,87.2314952423681,415.675262451164,52.5276832580566,342.425109863125,3.70049333572388,1.45313164962915,5495.96124711629,"Annual Herbaceous"
"Tracheophyta","Malvales","Cytinaceae","Cytinus","Cytinus hypocistis",55,903.413940429688,256.196338586426,72.8300700255069,18.2279198900461,17.3046801067201,320.317350247411,23.2645367302832,14.5596627624487,528.869171503714,5.92250970140572,86.3695400294118,668.321105957414,56.6895141601562,580.618835448863,4.89004135131809,0.791339921467951,2000.8961176392,"Perennial Herbaceous"
"Tracheophyta","Malvales","Malvaceae","Malva","Malva acerifolia",149,415.443084716797,274.420830789185,110.633489736138,20.1741520600098,18.2383937507932,295.337813445664,24.8057650505216,15.6979608708919,282.210597448539,3.23697951623426,85.0822160049863,389.803100586121,108.790901184057,241.691131591761,0.170585751532307,0.723982433757449,8328.63598481889,"Perennial Herbaceous"
"Tracheophyta","Malvales","Malvaceae","Malva","Malva multiflora",33,572.975524902344,74.4594767211914,42.0659851374073,18.0219553243494,14.6231211619561,253.677288295117,22.3233059409904,14.4600129548096,406.62816601995,4.5591807061808,88.0590257811344,93.5851516722224,42.9804763793945,58.1232528684688,0.363213330506058,4.34500728752513,8328.63598481889,"Perennial Herbaceous"
"Tracheophyta","Malvales","Malvaceae","Malva","Malva parviflora",111,116.697853088379,159.563682554626,28.2604503657243,21.0260870288011,15.045519738282,267.950513248512,24.3548548070832,17.6394209690544,232.411308591493,1.02226416205138,89.6633759407595,170.851745605533,78.4010543823156,50.3539543152365,1.92578198937401e-13,1.36030982749272,8328.63598481889,"Annual Herbaceous"
"Tracheophyta","Malvales","Thymelaeaceae","Daphne","Daphne gnidium",356,917.863189697266,293.691260009766,52.4006877982423,17.4907413334207,18.8675184327106,302.850357037732,22.5205799849438,13.7763757184215,616.947400844776,14.1544329811226,70.5275114083757,679.587310791048,67.3659362792873,608.350585937575,9.91511392594849,0.907826545682027,959.672065754159,"Ancestral Woodiness"
"Tracheophyta","Ranunculales","Papaveraceae","Fumaria","Fumaria muralis",30,460.828048706055,520.444564297485,44.9256677089202,19.8554915342805,17.4988117634107,260.848332554238,22.9242406781698,16.1052339495753,412.437628314388,4.17279031295092,83.5862696559737,377.28297424303,73.3644218444767,292.385879517342,1.07380288839392,1.09317848000401,4328.23590314541,"Annual Herbaceous"
"Tracheophyta","Ranunculales","Papaveraceae","Papaver","Papaver rhoeas",65,604.143676757812,445.510531604004,56.138505070203,18.4272312853961,16.9224843923,315.157006094267,22.7165607773086,14.4284552407348,466.833309986641,3.42853480904581,87.5802715289788,288.151611328223,54.032829284668,215.193359375322,0.642321586608466,1.62009612868306,8110.37498942537,"Annual Herbaceous"
"Tracheophyta","Ranunculales","Papaveraceae","Papaver","Papaver somniferum",173,606.683654785156,410.050837023926,54.94655157464,19.0122636627182,16.9112736178243,306.596626511535,23.0519676659902,15.001684359122,421.92572191728,4.29756015214487,84.0439591739706,312.5054016111,65.6886596679688,237.377258300566,0.614443838595638,1.35013897277318,8110.37498942537,"Annual Herbaceous"
"Tracheophyta","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus cortusifolius",630,935.831726074219,266.651546191406,69.0308459961888,16.9073967520947,16.9078147076298,302.78144337548,21.5700718673152,13.1295575522,586.862711900595,8.89002847118236,78.4732992068829,509.618164062657,44.3472175598365,471.28713989253,7.94832944870153,1.15157338039552,5529.60149136725,"Perennial Herbaceous"
"Tracheophyta","Rosales","Rhamnaceae","Rhamnus","Rhamnus crenulata",151,389.335479736328,214.369309552002,98.3008254533347,19.6781816940299,14.0706483270757,240.559495379599,23.7004108342654,16.4928895117875,393.559230402288,8.2848053170059,80.8021623150924,430.47326660161,102.035835266113,317.92950439515,0.932474672794399,0.914247784791048,2487.98206027467,"Ancestral Woodiness"
"Tracheophyta","Rosales","Rhamnaceae","Rhamnus","Rhamnus glandulosa",97,832.948364257812,230.30377565918,67.8950851522744,17.0156926515801,12.5998499793596,267.801102924886,21.2716566422256,13.7053213293926,604.030879835689,13.2455831286234,72.9155234822224,563.998718262102,38.3475341797072,510.2189941407,11.3089218139757,1.07097917118844,2487.98206027467,"Ancestral Woodiness"
"Tracheophyta","Rosales","Rosaceae","Bencomia","Bencomia caudata",49,591.268493652344,253.881133447266,84.2922078853177,19.2628617362994,18.846980251951,298.215766660825,23.5430204224545,14.9427447239383,488.536732160787,14.6929039606249,72.5746145470628,600.075317382762,86.5961914062183,506.674865722656,4.39566659927636,0.814125690574222,3121.7128892145,"Derived Woodiness"
"Tracheophyta","Rosales","Rosaceae","Marcetella","Marcetella moquiniana",29,156.639312744141,100.823089105225,84.5449951133187,23.1959420948267,13.7376632975686,179.641268358692,24.5599342513763,20.8089001906397,323.595597457882,6.81287336792164,80.745920590816,501.6356201171,120.477737426828,290.665100097754,0.922893106938647,0.645080980059476,163.865568372126,"Derived Woodiness"
"Tracheophyta","Rosales","Rosaceae","Poterium","Poterium megacarpon",28,1006.85302734375,399.800590905762,54.7881339041039,17.2105053815531,19.1758748580603,383.613010599997,22.3606651202768,12.476731842999,391.168856883276,2.24674923977615,88.9950511229747,408.62457275407,104.431148529051,282.209533691279,0.462603911756096,0.957281776391603,3695.10873146118,"Perennial Herbaceous"
"Tracheophyta","Rosales","Rosaceae","Rubus","Rubus ulmifolius",161,717.434936523438,300.654068664551,67.430526061318,18.3856715775689,15.8751787350574,280.356313492405,22.5105329390807,14.5677354860342,559.914826124348,11.9442550546892,74.4597258905426,611.268005371291,52.040031433094,533.67999267578,8.53410148620605,0.915989093497949,2161.87539160274,"Ancestral Woodiness"
